project,fire,site,lat,lon,tran,sample,age,Age.Class,decid.dens,decid.bio,spruce.dens,spruce.bio,rel.decid.dens,rel.decid.bio,new.bio.dens,traj.20,treesnagsolC,aboveC,belowC,treesnagsolN,aboveN,belowN,treesnagsolCN,aboveCN,belowCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,RF83,RF1,64.77570444,-148.1856824,1,1,25,> 20 years,0.6,107.06,1.06,182.43,0.361445783,0.369822792,0.365634288,Mixed,6960.86,505.266,6455.597,237.22,4.6110144,232.757324,29.34356528,109.5780573,27.73531199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,RF83,RF2,64.77591047,-148.1867113,2,1,25,> 20 years,0.36,83.27,6.82,913.96,0.050139276,0.083501299,0.066820288,Spruce,3605.22,978.816,2626.391,68.22,12.1846704,56.091412,52.84493601,80.3317585,46.82340676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,RF83,RF3,64.77768274,-148.1813538,3,1,25,> 20 years,1,140.89,6.48,617.66,0.13368984,0.185735944,0.159712892,Spruce,3929.57,345.912,3583.655,88.89,2.9114448,85.98314,44.20503564,118.811114,41.67857792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SC87,SC1,63.91586,-149.12662,1,1,22,> 20 years,0,0,1.12,276.44,0,0,0,Spruce,5251.06,351.598,4899.463,163.12,1.3651712,161.949596,32.19091766,257.5486503,30.25301156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SC87,SC2,63.91621,-149.12899,2,1,22,> 20 years,3.53,3401.87,0,0,1,1,1,Deciduous,5558.4,2119.138,3439.266,95.3,13.1967792,82.639728,58.32803529,160.5799391,41.61758616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SC87,SC3,63.91678,-149.12591,3,1,22,> 20 years,0.41,268.9,1.72,168.59,0.192488263,0.61464262,0.403565442,Mixed,7421.08,606.242,6814.833,236,2.2215488,234.114024,31.44553642,272.8915971,29.10903364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SM57,SM1,65.23175,-149.5379,1,1,52,> 20 years,0.18,1945.25,1.89,1520.46,0.086956522,0.561284701,0.324120612,Spruce,4255.62,1684.144,2571.477,78.74,9.1698096,69.667576,54.04870342,183.6618287,36.91067133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SM57,SM2,65.23109,-149.53957,2,1,52,> 20 years,0.03,192.48,2.16,1682.98,0.01369863,0.102630821,0.058164726,Spruce,4175.69,789.736,3385.956,101.05,5.4950064,95.568952,41.32372766,143.7188499,35.42945621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,SM57,SM3,65.23056,-149.53926,3,1,52,> 20 years,0,0,1.12,254.24,0,0,0,Spruce,5281.03,117.22,5163.806,154.73,0.850648,153.889432,34.13109871,137.8008295,33.55529963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TKN103,TKN103,NA,NA,1,1,91,> 20 years,0.01,61.88,0.24,632.85,0.04,0.089070574,0.064535287,Spruce,9929.85,1151.96,8777.886,163.94,6.444488,157.501512,60.5683738,178.7512057,55.7320745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TKN117,TKN117,NA,NA,1,1,163,> 20 years,0,0,0.58,1762.84,0,0,0,Spruce,11447.5,2608.306,8839.189,242.71,15.0801504,227.647388,47.16518581,172.9628638,38.82842267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TKN125,TKN125,NA,NA,1,1,56,> 20 years,0,0,NA,NA,0,0,0,Spruce,6670.76,3505.636,3165.126,104.14,16.6303184,88.328912,64.055432,210.7978883,35.83340866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
